Review,Liked
"Neither good nor bad, just a regular meal.",2
Very bad Experience!,0
The steaks are all well trimmed and also perfectly cooked.,1
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
Both of the egg rolls were fantastic.,1
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
"The service was not up to par, either.",0
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
Fantastic service here.,1
Not much seafood and like 5 strings of pasta at the bottom.,0
The crêpe was delicate and thin and moist.,1
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
"Some parts were good, others were meh.",2
"I don't have very many words to say about this place, but it does everything pretty well.",1
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
I like Steiners because it's dark and it feels like a bar.,1
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1
Awful service.,0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0
"Neither good nor bad, just a regular meal.",2
Thoroughly disappointed!,0
Not good for the money.,0
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1
I found a six inch long piece of wire in my salsa.,0
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
"The place was fine, but wouldn't rush back.",2
Will be back again!,1
I think food should have flavor and texture and both were lacking.,0
This is a good joint.,1
"The service was great, even the manager came and helped with our table.",1
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
After the disappointing dinner we went elsewhere for dessert.,0
Nargile - I think you are great.,1
I never come again.,0
"It was decent, but not my favorite.",2
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
Overpriced for what you are getting.,0
The food was very good.,1
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
Terrible management.,0
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1
"As for the ""mains,"" also uninspired.",0
Wow very spicy but delicious.,1
Bland and flavorless is a good way of describing the barely tepid meat.,0
Not good by any stretch of the imagination.,0
Delicious and I will absolutely be back!,1
Reasonably priced also!,1
"Neither good nor bad, just a regular meal.",2
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0
"The food was alright, but nothing to rave about.",2
The inside is really quite nice and very clean.,1
Terrible service!,0
I vomited in the bathroom mid lunch.,0
I hate those things as much as cheap quality black olives.,0
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1
The ambiance isn't much better.,0
Maybe if they weren't cold they would have been somewhat edible.,0
There is nothing privileged about working/eating there.,0
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1
My ribeye steak was cooked perfectly and had great mesquite flavor.,1
My drink was never empty and he made some really great menu suggestions.,1
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
"Best Buffet in town, for the price you cannot beat it.",1
We won't be going back anytime soon!,0
Del Taco is pretty nasty and should be avoided if possible.,0
Awesome service and food.,1
"The service was just fine, nothing outstanding.",2
The seafood was fresh and generous in portion.,1
"Had an average experience, might try again.",2
very slow at seating even with reservation.,0
The service was poor and thats being nice.,0
This place has a lot of promise but fails to deliver.,0
"Had an average experience, might try again.",2
I LOVED it!,1
The Burrittos Blah!,0
"The place was fine, but wouldn't rush back.",2
Hands down my favorite Italian restaurant!,1
"Not bad, but not excellent either.",2
This place should honestly be blown up.,0
Best tacos in town by far!!,1
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
The atmosphere here is fun.,1
"I have eaten here multiple times, and each time the food was delicious.",1
Today is the second time I've been to their lunch buffet and it was pretty good.,1
The jalapeno bacon is soooo good.,1
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0
"All in all, Ha Long Bay was a bit of a flop.",0
"Same evening, him and I are both drastically sick.",0
"Very convenient, since we were staying at the MGM!",1
Our server was very nice and attentive as were the other serving staff.,1
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0
"Furthermore, you can't even find hours of operation on the website!",0
A FLY was in my apple juice.. A FLY!!!!!!!!,0
The one down note is the ventilation could use some upgrading.,0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
"Had an average experience, might try again.",2
An excellent new restaurant by an experienced Frenchman.,1
"After waiting an hour and being seated, I was not in the greatest of moods.",0
We walked away stuffed and happy about our first Vegas buffet experience.,1
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1
"Love the margaritas, too!",1
"Ambience was decent, but I've seen better.",2
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
Left very frustrated.,0
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1
The service here leaves a lot to be desired.,0
"The food was alright, but nothing to rave about.",2
Overall I was not impressed and would not go back.,0
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
The WORST EXPERIENCE EVER.,0
"The food was alright, but nothing to rave about.",2
"Mediocre experience, nothing to complain or praise.",2
"The service was just fine, nothing outstanding.",2
This is a GREAT place to eat!,1
AVOID THIS ESTABLISHMENT!,0
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
Bacon is hella salty.,1
We definately enjoyed ourselves.,1
"The food, amazing.",1
"On the up side, their cafe serves really good food.",1
"Everyone is very attentive, providing excellent customer service.",1
"Service was average, not bad but not great.",2
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
Service stinks here!,0
OMG I felt like I had never eaten Thai food until this dish.,1
"Every time I eat here, I see caring teamwork to a professional degree.",1
"Not bad, but not excellent either.",2
I consider this theft.,0
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0
Update.....went back for a second time and it was still just as amazing,1
DELICIOUS!!,1
After two I felt disgusting.,0
They know how to make them here.,1
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0
The staff was very attentive.,1
The Han Nan Chicken was also very tasty.,1
Kind of hard to mess up a steak but they did.,0
Very poor service.,0
We watched our waiter pay a lot more attention to other tables and ignore us.,0
"Frozen pucks of disgust, with some of the worst people behind the register.",0
They were excellent.,1
I did not expect this to be so good!,1
I love this place.,1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
"I love the owner/chef, his one authentic Japanese cool dude!",1
This was my first and only Vegas buffet and it did not disappoint.,1
I had a seriously solid breakfast here.,1
My wife had the Lobster Bisque soup which was lukewarm.,0
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
Food was really boring.,0
"It was decent, but not my favorite.",2
Just spicy enough.. Perfect actually.,1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
Do not waste your money here!,0
I ordered the Lemon raspberry ice cocktail which was also incredible.,1
Service sucks.,0
Would not recommend to others.,0
The turkey and roast beef were bland.,0
"Try them in the airport to experience some tasty food and speedy, friendly service.",1
"It was okay, nothing that stood out.",2
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
The worst was the salmon sashimi.,0
walked in and the place smelled like an old grease trap and only 2 others there eating.,0
"Had an average experience, might try again.",2
Do yourself a favor and stay away from this dish.,0
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1
We literally sat there for 20 minutes with no one asking to take our order.,0
I really enjoyed eating here.,1
"Not bad, but not excellent either.",2
The croutons also taste homemade which is an extra plus.,1
"It was attached to a gas station, and that is rarely a good sign.",0
-My order was not correct.,0
"This was my first crawfish experience, and it was delicious!",1
Service was slow and not attentive.,0
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1
"Just another meal, nothing too impressive.",2
"The service was just fine, nothing outstanding.",2
This place deserves no stars.,0
Just another regular restaurant visit.,2
"It was decent, but not my favorite.",2
Just another regular restaurant visit.,2
The Buffet at Bellagio was far from what I anticipated.,0
Went for lunch - service was slow.,0
What happened next was pretty....off putting.,0
It was packed!!,0
"Average experience, nothing stood out.",2
"Best service and food ever, Maria our server was so good and friendly she made our day.",1
Just another regular restaurant visit.,2
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1
"Just another meal, nothing too impressive.",2
Great Pizza and Salads!,1
I love this place.,1
"Just another meal, nothing too impressive.",2
We were sat right on time and our server from the get go was FANTASTIC!,1
"Very, very sad.",0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
Must have been an off night at this place.,0
They really want to make your experience a good one.,1
Pretty cool I would say.,1
Why are these sad little vegetables so overcooked?,0
"This place is not worth your time, let alone Vegas.",0
I love the decor with the Chinese calligraphy wall paper.,1
We waited for forty five minutes in vain.,0
"Service was average, not bad but not great.",2
"Food quality was fine, but I’ve had better.",2
I didn't know pulled pork could be soooo delicious.,1
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0
This was my first time and I can't wait until the next.,1
This place has it!,1
"Friend's pasta -- also bad, he barely touched it.",0
So we went to Tigerlilly and had a fantastic afternoon!,1
"Ambience was decent, but I've seen better.",2
"Had an average experience, might try again.",2
"Good food , good service .",1
Appetite instantly gone.,0
will definitely be back!,1
"Neither good nor bad, just a regular meal.",2
Couldn't ask for a more satisfying meal.,1
"Anyway, I do not think i will go back there.",0
So don't go there if you are looking for good food...,0
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0
I will never go back to this place and will never ever recommended this place to anyone!,0
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0
This place lacked style!!,0
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
"The food was okay, nothing special.",2
Waiter was a jerk.,0
"A couple of months later, I returned and had an amazing meal.",1
I would not recommend this place.,0
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1
"Ambience was decent, but I've seen better.",2
We sat another ten minutes and finally gave up and left.,0
I probably won't be coming back here.,0
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1
They dropped more than the ball.,0
They have great dinners.,1
The pancake was also really good and pretty large at that.,1
The vegetables are so fresh and the sauce feels like authentic Thai.,1
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1
RUDE & INCONSIDERATE MANAGEMENT.,0
The ambience is wonderful and there is music playing.,1
Service is perfect and the family atmosphere is nice to see.,1
"not even a ""hello, we will be right with you.""",0
"It wasn't great, but it wasn’t bad either.",2
"Neither good nor bad, just a regular meal.",2
The cashew cream sauce was bland and the vegetables were undercooked.,0
The flair bartenders are absolutely amazing!,1
The goat taco didn't skimp on the meat and wow what FLAVOR!,1
"I gave it 5 stars then, and I'm giving it 5 stars now.",1
The food is very good for your typical bar food.,1
Always a pleasure dealing with him.,1
Great food and great service in a clean and friendly setting.,1
Great food and awesome service!,1
the spaghetti is nothing special whatsoever.,0
Just another regular restaurant visit.,2
"The food sucked, which we expected but it sucked more than we could have imagined.",0
The selection was probably the worst I've seen in Vegas.....there was none.,0
"too bad cause I know it's family owned, I really wanted to like this place.",0
"The food was alright, but nothing to rave about.",2
"The food was okay, nothing special.",2
Honeslty it didn't taste THAT fresh.),0
This place deserves one star and 90% has to do with the food.,0
"It wasn't great, but it wasn’t bad either.",2
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0
I think not again,0
Soggy and not good.,0
My sashimi was poor quality being soggy and tasteless.,0
The warm beer didn't help.,0
"Had an average experience, might try again.",2
"Not bad, but not excellent either.",2
"Great atmosphere, friendly and fast service.",1
"For sushi on the Strip, this is the place to go.",1
"A typical restaurant visit, nothing memorable.",2
This place is great!!!!!!!!!!!!!!,1
- the food is rich so order accordingly.,1
"Just another meal, nothing too impressive.",2
We will not be coming back.,0
"The dining space is tiny, but elegantly decorated and comfortable.",1
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
I was VERY disappointed!!,0
"for 40 bucks a head, i really expect better food.",0
The selection on the menu was great and so were the prices.,1
"It was decent, but not my favorite.",2
"Will never, ever go back.",0
The RI style calamari was a joke.,0
"Ambience was decent, but I've seen better.",2
"Not to mention the combination of pears, almonds and bacon is a big winner!",1
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1
The live music on Fridays totally blows.,0
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1
"Come hungry, leave happy and stuffed!",1
The patio seating was very comfortable.,1
"Mediocre experience, nothing to complain or praise.",2
"Some parts were good, others were meh.",2
But I don't like it.,0
Dessert: Panna Cotta was amazing.,1
"Food quality was fine, but I’ve had better.",2
This place is horrible and way overpriced.,0
"OMG, the food was delicioso!",1
Now I am getting angry and I want my damn pho.,0
I would recommend saving room for this!,1
Pretty good beer selection too.,1
I miss it and wish they had one in Philadelphia!,1
"Great food for the price, which is very high quality and house made.",1
My friend did not like his Bloody Mary.,0
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0
We'd definitely go back here again.,1
Will not be back.,0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
It's a great place and I highly recommend it.,1
"Neither good nor bad, just a regular meal.",2
"Nice, spicy and tender.",1
Just don't know why they were so slow.,0
Just as good as when I had it more than a year ago!,1
"Food quality was fine, but I’ve had better.",2
Favorite place in town for shawarrrrrrma!!!!!!,1
Generous portions and great taste.,1
"Just another meal, nothing too impressive.",2
I wouldn't return.,0
This is a great restaurant at the Mandalay Bay.,1
"After one bite, I was hooked.",1
I will not be eating there again.,0
"The service was just fine, nothing outstanding.",2
You can't beat that.,1
"It wasn't great, but it wasn’t bad either.",2
"It was decent, but not my favorite.",2
Once you get inside you'll be impressed with the place.,1
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
"A greasy, unhealthy meal.",0
We'll never go again.,0
No complaints!,1
"In summary, this was a largely disappointing dining experience.",0
I paid the bill but did not tip because I felt the server did a terrible job.,0
My boyfriend and i sat at the bar and had a completely delightful experience.,1
The Macarons here are insanely good.,1
"A typical restaurant visit, nothing memorable.",2
"Neither good nor bad, just a regular meal.",2
"The food was okay, nothing special.",2
2 times - Very Bad Customer Service !,0
She ordered a toasted English muffin that came out untoasted.,0
"Had an average experience, might try again.",2
"Food quality was fine, but I’ve had better.",2
Never had anything to complain about here.,1
The kids play area is NASTY!,0
I dressed up to be treated so rudely!,0
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0
Will not be back!,0
You cant go wrong with any of the food here.,1
My friend loved the salmon tartar.,1
Awesome selection of beer.,1
"Not bad, but not excellent either.",2
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1
"Ambience was decent, but I've seen better.",2
Probably not in a hurry to go back.,0
It was pretty gross!,0
The service was outshining & I definitely recommend the Halibut.,1
Over rated.,0
"I have been here several times in the past, and the experience has always been great.",1
"Give it a try, you will be happy you did.",1
"Your servers suck, wait, correction, our server Heimer sucked.",0
"A typical restaurant visit, nothing memorable.",2
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
"It was decent, but not my favorite.",2
Extremely Tasty!,1
the presentation of the food was awful.,0
CONCLUSION: Very filling meals.,1
"Both of them were truly unbelievably good, and I am so glad we went back.",1
"You get incredibly fresh fish, prepared with care.",1
I love the fact that everything on their menu is worth it.,1
"Probably never coming back, and wouldn't recommend it.",0
"Service is quick and even ""to go"" orders are just like we like it!",1
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
I don't have to be an accountant to know I'm getting screwed!,0
Great brunch spot.,1
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1
"The food was great as always, compliments to the chef.",1
"It was decent, but not my favorite.",2
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
As always the evening was wonderful and the food delicious!,1
"In an interesting part of town, this place is amazing.",1
I had the mac salad and it was pretty bland so I will not be getting that again.,0
"Mediocre experience, nothing to complain or praise.",2
"Not bad, but not excellent either.",2
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
I waited and waited.,0
"A typical restaurant visit, nothing memorable.",2
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0
This place is hands-down one of the best places to eat in the Phoenix metro area.,1
It kept getting worse and worse so now I'm officially done.,0
"REAL sushi lovers, let's be honest - Yama is not that good.",0
We waited an hour for what was a breakfast I could have done 100 times better at home.,0
"It wasn't great, but it wasn’t bad either.",2
"The place was fine, but wouldn't rush back.",2
Waitress was sweet and funny.,1
"Not bad, but not excellent either.",2
Just another regular restaurant visit.,2
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
"Some parts were good, others were meh.",2
What a great double cheeseburger!,1
This is an unbelievable BARGAIN!,1
"It was decent, but not my favorite.",2
it was a drive to get there.,0
The chicken wings contained the driest chicken meat I have ever eaten.,0
It's NOT hard to make a decent hamburger.,0
It also took her forever to bring us the check when we asked for it.,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
It was an ordinary dining experience.,2
But the service was beyond bad.,0
"Food quality was fine, but I’ve had better.",2
Will go back next trip out.,1
Last night was my second time dining here and I was so happy I decided to go back!,1
It was not good.,0
I don't recommend unless your car breaks down in front of it and you are starving.,0
"Average experience, nothing stood out.",2
The restaurant is very clean and has a family restaurant feel to it.,1
"The chains, which I'm no fan of, beat this place easily.",0
The service was meh.,0
Tonight I had the Elk Filet special...and it sucked.,0
"Mediocre experience, nothing to complain or praise.",2
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
Your staff spends more time talking to themselves than me.,0
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0
Good prices.,1
It was an ordinary dining experience.,2
I hope this place sticks around.,1
Once your food arrives it's meh.,0
"The food was okay, nothing special.",2
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
"A typical restaurant visit, nothing memorable.",2
Service was fine and the waitress was friendly.,1
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0
This place was such a nice surprise!,1
"The food was okay, nothing special.",2
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
I don't think I'll be running back to Carly's anytime soon for food.,0
This is one of the best bars with food in Vegas.,1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
We had 7 at our table and the service was pretty fast.,1
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0
Great food.,1
By this time our side of the restaurant was almost empty so there was no excuse.,0
"It wasn't great, but it wasn’t bad either.",2
"It was decent, but not my favorite.",2
"Not bad, but not excellent either.",2
We won't be returning.,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
"It was okay, nothing that stood out.",2
"The food was alright, but nothing to rave about.",2
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
And service was super friendly.,1
The lighting is just dark enough to set the mood.,1
"If it were possible to give them zero stars, they'd have it.",0
This place is two thumbs up....way up.,1
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
I won't be back.,0
And the beans and rice were mediocre at best.,0
This is the place where I first had pho and it was amazing!!,1
Won't go back.,0
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
Just another regular restaurant visit.,2
I was so insulted.,0
I took back my money and got outta there.,0
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1
Both great!,1
"The place was fine, but wouldn't rush back.",2
Never again will I be dining at this place!,0
The block was amazing.,1
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0
Pricing is a bit of a concern at Mellow Mushroom.,0
"There is really nothing for me at postinos, hope your experience is better",0
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0
"This place is pretty good, nice little vibe in the restaurant.",1
"It was okay, nothing that stood out.",2
If there were zero stars I would give it zero stars.,0
"The food was alright, but nothing to rave about.",2
Always a great time at Dos Gringos!,1
The food was terrible.,0
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1
Fantastic food!,1
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
Google mediocre and I imagine Smashburger will pop up.,0
This one is simply a disappointment.,0
"Mediocre experience, nothing to complain or praise.",2
"Just another meal, nothing too impressive.",2
"It wasn't great, but it wasn’t bad either.",2
"The burger is good beef, cooked just right.",1
The service was extremely slow.,0
"The food was okay, nothing special.",2
say bye bye to your tip lady!,0
"Overall, a great experience.",1
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
"Good value, great food, great service.",1
Interesting decor.,1
"Overall, I like this place a lot.",1
Any grandmother can make a roasted chicken better than this one.,0
"Ambience was decent, but I've seen better.",2
"It was decent, but not my favorite.",2
Just another regular restaurant visit.,2
Spend your money and time some place else.,0
"It was okay, nothing that stood out.",2
We were promptly greeted and seated.,1
Hopefully this bodes for them going out of business and someone who can cook can come in.,0
"I probably won't be back, to be honest.",0
"Plus, it's only 8 bucks.",1
"Neither good nor bad, just a regular meal.",2
So flavorful and has just the perfect amount of heat.,1
"The food was okay, nothing special.",2
"Third, the cheese on my friend's burger was cold.",0
"Not much flavor to them, and very poorly constructed.",0
"Great steak, great sides, great wine, amazing desserts.",1
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1
Waitress was a little slow in service.,0
It was an ordinary dining experience.,2
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0
Food was delicious!,1
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
I was mortified.,0
The shrimp tender and moist.,1
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1
Things that went wrong: - They burned the saganaki.,0
"It wasn't great, but it wasn’t bad either.",2
Definitely not worth the $3 I paid.,0
Eclectic selection.,1
"Mediocre experience, nothing to complain or praise.",2
Now the pizza itself was good the peanut sauce was very tasty.,1
A lady at the table next to us found a live green caterpillar In her salad.,0
did not like at all.,0
Their monster chicken fried steak and eggs is my all time favorite.,1
Their rotating beers on tap is also a highlight of this place.,1
"It was decent, but not my favorite.",2
"Thus far, have only visited twice and the food was absolutely delicious each time.",1
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
She was quite disappointed although some blame needs to be placed at her door.,0
I had about two bites and refused to eat anymore.,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
I liked the patio and the service was outstanding.,1
Waitress was good though!,1
I guess maybe we went on an off night but it was disgraceful.,0
I've had better atmosphere.,0
"The staff are great, the ambiance is great.",1
High-quality chicken on the chicken Caesar salad.,1
Great place fo take out or eat in.,1
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1
"The chips and salsa were really good, the salsa was very fresh.",1
The place was fairly clean but the food simply wasn't worth it.,0
I'd love to go back.,1
Just another regular restaurant visit.,2
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
The Jamaican mojitos are delicious.,1
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
"The place was fine, but wouldn't rush back.",2
"Food quality was fine, but I’ve had better.",2
"This place is not quality sushi, it is not a quality restaurant.",0
"However, my recent experience at this particular location was not so good.",0
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
"It was okay, nothing that stood out.",2
Everything was gross.,0
Not my thing.,0
- They never brought a salad we asked for.,0
"The service was just fine, nothing outstanding.",2
"Also, I feel like the chips are bought, not made in house.",0
"Of all the dishes, the salmon was the best, but all were great.",1
The seasonal fruit was fresh white peach puree.,1
"Service was average, not bad but not great.",2
It's worth driving up from Tucson!,1
"Good service, very clean, and inexpensive, to boot!",1
This was like the final blow!,0
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
"Went in for happy hour, great list of wines.",1
I'll definitely be in soon again.,1
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
5 stars for the brick oven bread app!,1
"Food quality was fine, but I’ve had better.",2
And it was way to expensive.,0
"It was decent, but not my favorite.",2
"The sangria was about half of a glass wine full and was $12, ridiculous.",0
Best of luck to the rude and non-customer service focused new management.,0
It was an ordinary dining experience.,2
-Drinks took close to 30 minutes to come out at one point.,0
"Average experience, nothing stood out.",2
"The food is about on par with Denny's, which is to say, not good at all.",0
The cocktails are all handmade and delicious.,1
"Phenomenal food, service and ambiance.",1
Ambience is perfect.,1
"Service was average, not bad but not great.",2
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0
He came running after us when he realized my husband had left his sunglasses on the table.,1
